City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,paamiut,61.994,-49.6678,-7.14,68,29,5.98,GL,1670134118
171,esperance,-33.8667,121.9,18.86,69,89,9.6,AU,1670134119
172,alghero,40.5589,8.3181,7.05,100,40,1.54,IT,1670134119
173,bengkulu,-3.8004,102.2655,27.64,73,31,2.79,ID,1670134119
174,paragominas,-2.9667,-47.4833,22.2,96,100,0.54,BR,1670133827
175,abatskoye,56.2875,70.4555,-13.64,95,100,3.04,RU,1670134120
176,tezu,27.9167,96.1667,26.58,25,0,1.53,IN,1670134120
177,dingle,10.9995,122.6711,29.53,72,63,5.12,PH,1670134120
178,asosa,10.0667,34.5333,24.0,31,10,2.59,ET,1670134121
179,okhotsk,59.3833,143.3,-27.73,88,100,4.97,RU,1670134066
180,kidero,42.1932,45.9614,-5.69,88,99,1.51,RU,1670134121
181,manduria,40.4018,17.6335,14.62,89,100,9.9,IT,1670134121
182,padang,-0.9492,100.3543,24.88,91,100,1.8,ID,1670134122
183,lebu,-37.6167,-73.65,11.54,92,4,4.58,CL,1670134122
184,charters towers,-20.1,146.2667,30.66,25,2,4.11,AU,1670134122
185,mar del plata,-38.0023,-57.5575,16.6,90,0,4.92,AR,1670133963
186,bathsheba,13.2167,-59.5167,25.58,88,40,3.09,BB,1670134123
187,mizdah,31.4451,12.9801,14.17,27,1,2.09,LY,1670134123
188,albany,42.6001,-73.9662,2.9,60,49,0.89,US,1670133912
189,ilulissat,69.2167,-51.1,-3.99,74,75,9.77,GL,1670134124
190,ballina,-28.8667,153.5667,20.43,90,93,4.91,AU,1670133944
191,byron bay,-28.65,153.6167,20.39,85,97,5.17,AU,1670134125
192,komsomolskiy,40.4272,71.7189,1.4,86,75,1.03,UZ,1670133987
193,kloulklubed,7.0419,134.2556,28.54,78,85,7.32,PW,1670134125
194,gien,47.6933,2.6309,3.08,91,100,2.97,FR,1670134125
195,balclutha,-46.2339,169.75,13.39,76,100,3.35,NZ,1670134126
196,rumonge,-3.9736,29.4386,24.18,72,100,0.24,BI,1670134126
197,bluff,-46.6,168.3333,10.45,85,100,9.23,NZ,1670134126
198,asau,46.4333,26.4,-1.49,98,100,1.37,RO,1670134127
199,haines junction,60.7522,-137.5108,-11.34,93,45,1.09,CA,1670134127
200,vao,-22.6667,167.4833,24.47,89,100,1.67,NC,1670134127
201,huanren,41.2647,125.3667,-8.62,42,1,1.75,CN,1670134128
202,viedma,-40.8135,-62.9967,17.24,59,5,2.43,AR,1670134128
203,comodoro rivadavia,-45.8667,-67.5,12.92,38,0,8.23,AR,1670134128
204,porto uniao,-26.2381,-51.0783,17.97,100,98,0.23,BR,1670134129
205,nouadhibou,20.931,-17.0347,17.69,81,0,4.34,MR,1670134129
206,axim,4.8699,-2.2405,24.66,88,70,0.36,GH,1670134129
207,khandbari,27.3747,87.2039,21.57,48,0,2.27,NP,1670134130
208,tiksi,71.6872,128.8694,-22.72,92,100,6.84,RU,1670134130
209,the valley,18.217,-63.0578,24.5,70,7,3.76,AI,1670133914
